Clé,Country Code,Country Name,Region,Year,GDP (US$),Population (number),HDI,rank legatum index,score legatum,HAQ,Life expectancy,NumbeEasternr of Hospitals,Number of General hospitals,Number of Publicly owned hospitals,Number of Not-for-profit privately owned hospitals,Number of For-profit privately owned hospitals,Total hospital beds,Number of Beds in publicly owned hospitals,Number of Beds in not-for-profit privately owned hospitals,Number of Beds in for-profit privately owned hospitals,Number of Generalist medical practitioners,Number of Specialist medical practitioners,Number of Medical doctors not further defined,Number of Practising nurses,Remuneration of hospital nurses,Remuneration of specialists,Remuneration of general practitioners, Share of gross domestic product (in %) -  All financing schemes, Share of current expenditure on health (in %) -  Government/compulsory schemes, Share of gross domestic product (in %) -  Government/compulsory schemes, Share of current expenditure on health (in %) -  Household out-of-pocket payments, Share of gross domestic product (in %) -  Household out-of-pocket payments, Share of current expenditure on health (in %) - Voluntary health care payment schemes, Share of gross domestic product (in %) -   Voluntary health care payment schemes, Share of current expenditure on health (in %) -  Voluntary schemes/household out-of-pocket payments, Share of gross domestic product (in %) -  Voluntary schemes/household out-of-pocket payments,R&D expenses as PC_GDP (total GOV),R&D expenses as PC_GDP (total HES),R&D expenses as PC_GDP (total BES),R&D expenses as PC_GDP (total),Number schools,Total Fees per Year (USD) MIN,Total Fees per Year (USD) MAX
ALB2019,ALB,Albania,Eastern Europe,2019,1.54E+10,2854191,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB2020,ALB,Albania,Eastern Europe,2020,1.51E+10,2837849,0.794,70,59.30305832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE2010,ARE,United Arab Emirates,Middle East and North Africa,2010,2.90E+11,8549998,0.835,44,64.15044166,71.4,76.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41294,71046
ARE2015,ARE,United Arab Emirates,Middle East and North Africa,2015,3.58E+11,9262896,0.865,40,66.65949928,72.2,77.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41294,71046
ARE2019,ARE,United Arab Emirates,Middle East and North Africa,2019,4.17E+11,9770526,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41294,71046
ARE2020,ARE,United Arab Emirates,Middle East and North Africa,2020,3.59E+11,9890400,0.912,40,67.83294371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41294,71046
ARG2010,ARG,Argentina,Latin America and the Caribbean,2010,4.24E+11,4.08E+07,0.834,58,59.1052027,66.6,75.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.445,58.988,5.572,26.78,2.53,14.232,1.344,41.012,3.874,NA,NA,NA,NA,NA,NA,NA
ARG2015,ARG,Argentina,Latin America and the Caribbean,2015,5.95E+11,4.31E+07,0.848,64,58.78588943,68.4,76.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.229,66.997,6.853,25.932,2.653,7.071,0.723,33.003,3.376,NA,NA,NA,NA,NA,NA,NA
ARG2019,ARG,Argentina,Latin America and the Caribbean,2019,4.53E+11,4.49E+07,0.852,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,62.605,5.954,27.659,2.63,9.737,0.926,37.395,3.556,NA,NA,NA,NA,NA,NA,NA
ARG2020,ARG,Argentina,Latin America and the Caribbean,2020,3.90E+11,4.54E+07,0.84,57,61.26976838,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM2010,ARM,Armenia,Eastern Europe,2010,9.26E+09,2877314,0.746,79,55.06216735,63.7,73.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM2015,ARM,Armenia,Eastern Europe,2015,1.06E+10,2925559,0.766,70,57.38064584,67.5,74.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
