CountryCode,CountryName,Year,Number of Hospitals,Number of General hospitals,Number of Publicly owned hospitals,Number of Not-for-profit privately owned hospitals,Number of For-profit privately owned hospitals,Total hospital beds,Number of Beds in publicly owned hospitals,Number of Beds in not-for-profit privately owned hospitals,Number of Beds in for-profit privately owned hospitals,Number of Generalist medical practitioners,Number of Specialist medical practitioners,Number of Medical doctors not further defined,Number of Practising nurses,Remuneration of hospital nurses,Remuneration of specialists,Remuneration of general practitioners,HAQ,Population,Number of hospitals per capita,Area
COL,Colombia,2010,10410,1422,1114,1284,7782,67737,29422,16153,20863,,,,,,,,64.4,45222699.00,0.001497854,Latin America and the Caribbean
COL,Colombia,2015,10315,1198,1043,1147,7793,77643,28647,17454,29659,72811,22138,,,,,,67.8,45222699.00,0.001716903,Latin America and the Caribbean
COL,Colombia,2019,10635,1211,1002,1024,8249,87461,28060,16663,41071,87115,28523,,,,,,NA,45222699.00,0.001934007,Latin America and the Caribbean
COL,Colombia,2020,10899,1177,1002,1025,8496,86027,27579,15873,40858,91212,29971,,,,,,NA,45222699.00,0.001902297,Latin America and the Caribbean
NZL,New Zealand,2010,165,67,87,31,47,11948,9937,480,1531,4757,5577,1078,43789,52157,123918,,84.2,4350700.00,0.002746225,Asia-Pacific
NZL,New Zealand,2015,165,58,85,28,52,12474,10528,452,1494,5963,7609,411,47120,53950,134494,,86.2,4350700.00,0.002867125,Asia-Pacific
NZL,New Zealand,2019,160,51,83,26,51,12667,10763,446,1458,6821,9754,237,50976,57461,139559,,NA,4350700.00,0.002911486,Asia-Pacific
NZL,New Zealand,2020,159,49,83,26,50,12684,10784,440,1460,6210,10939,299,53933,57024,139175,,NA,4350700.00,0.002915393,Asia-Pacific
ESP,Spain,2010,765,549,343,126,296,144951,99533,19047,26371,34620,107542,,239867,,,,87.2,46576897.00,0.003112079,Europe
ESP,Spain,2015,765,558,343,119,303,138368,95015,16754,26599,34735,115392,,245533,39416,71200,62419.0,89.6,46576897.00,0.002970743,Europe
ESP,Spain,2019,777,566,343,124,310,138861,94887,17525,26449,43131,112784,,277633,43324,87309,75308.0,NA,46576897.00,0.002981328,Europe
ESP,Spain,2020,771,567,342,121,308,139933,96759,17281,25893,43302,116345,,289100,45588,90855,79480.0,NA,46576897.00,0.003004344,Europe
SWE,Sweden,2010,,,,,,25566,,,,5897,19558,10263,101874,,,,88.7,9378126.00,0.002726131,Europe
SWE,Sweden,2015,,,,,,23904,,,,6345,21997,12577,107529,,107611,,90.5,9378126.00,0.00254891,Europe
SWE,Sweden,2019,,,,,,21280,,,,6380,22825,14841,111533,,104092,,NA,9378126.00,0.00226911,Europe
SWE,Sweden,2020,,,,,,21217,,,,,,,,,107823,,NA,9378126.00,0.002262392,Europe
CHN,China,2010,,,,,,3387400,,,,,,,2048071,,,,69.9,1337705000.00,0.002532247,Asia-Pacific
CHN,China,2015,,,,,,5330600,,,,,,,3241469,,,,74.2,1337705000.00,0.003984885,Asia-Pacific
CHN,China,2019,,,,,,6866500,,,,,,,4445047,,,,NA,1337705000.00,0.005133045,Asia-Pacific
CHN,China,2020,,,,,,7131200,,,,,,,4708717,,,,NA,1337705000.00,0.005330921,Asia-Pacific
BRA,Brazil,2010,,,,,,500754,,,,100097,,,130779,,,,62.6,195713637.00,0.002558606,Latin America and the Caribbean
BRA,Brazil,2015,,,,,,482949,,,,126634,,,209216,,,,64.9,195713637.00,0.002467631,Latin America and the Caribbean
BRA,Brazil,2019,,,,,,474131,,,,144971,65383,,267729,,,,NA,195713637.00,0.002422575,Latin America and the Caribbean
BRA,Brazil,2020,,,,,,518900,,,,162520,,,301558,,,,NA,195713637.00,0.002651323,Latin America and the Caribbean
RUS,Russian Federation,2010,,,,,,1339492,,,,47754,,,1038459,,,,68.5,142849468.00,0.009376948,Europe
RUS,Russian Federation,2015,,,,,,1222009,,,,45555,,,1245594,,,,71.7,142849468.00,0.008554523,Europe
RUS,Russian Federation,2019,,,,,,1173568,,,,47573,,,1244755,,,,NA,142849468.00,0.008215417,Europe
RUS,Russian Federation,2020,,,,,,,,,,,,,,,,,NA,142849468.00,,Europe
IDN,Indonesia,2010,,,,,,137070,,,,25033,,,,,,,46.8,241834226.00,0.000566793,Asia-Pacific
IDN,Indonesia,2015,,,,,,249255,,,,,47605,,223910,,,,49.2,241834226.00,0.001030685,Asia-Pacific
IDN,Indonesia,2019,,,,,,,,,,59988,65874,,578078,,,,NA,241834226.00,,Asia-Pacific
IDN,Indonesia,2020,,,,,,,,,,137920,32418,,615829,,,,NA,241834226.00,,Asia-Pacific
DNK,Denmark,2010,,,,,,19405,18536,468,401,4397,8753,7519,54481,75335,182268,,83.6,5547683.00,0.003497857,Europe
DNK,Denmark,2015,,,,,,14380,13415,655,310,4575,9867,7893,56372,66282,159023,,85.7,5547683.00,0.002592073,Europe
DNK,Denmark,2019,,,,,,15076,14129,628,319,4641,10832,9242,58910,71582,170061,,NA,5547683.00,0.002717531,Europe
DNK,Denmark,2020,,,,,,15089,14119,632,338,,,,,75873,178252,,NA,5547683.00,0.002719874,Europe
IND,India,2010,,,,,,576793,,,,,,,1073638,,,,41.2,1234281163.00,0.000467311,Asia-Pacific
IND,India,2015,,,,,,754724,,,,,,,1900837,,,,44.8,1234281163.00,0.000611468,Asia-Pacific
IND,India,2019,,,,,,,,,,,,,,,,,NA,1234281163.00,,Asia-Pacific
IND,India,2020,,,,,,,,,,,,,,,,,NA,1234281163.00,,Asia-Pacific
NOR,Norway,2010,,,,,,21044,16185,,,4039,8151,7924,78857,74270,127660,,88.0,4889252.00,0.004304135,Europe
NOR,Norway,2015,,,,,,19519,14956,,,4592,9443,9069,89836,65045,118152,,90.5,4889252.00,0.003992226,Europe
NOR,Norway,2019,,,,,,18555,14087,,,5162,11217,10193,95624,66986,119605,,NA,4889252.00,0.003795059,Europe
NOR,Norway,2020,,,,,,18281,13930,,,5310,11538,10513,96900,63596,114662,,NA,4889252.00,0.003739018,Europe
ZAF,South Africa,2010,,,,,,117841,,,,11309,,,52370,,,,49.4,51216967.00,0.00230082,Sub-Saharan Africa
ZAF,South Africa,2015,,,,,,,,,,13656,,,70300,,,,52.0,51216967.00,,Sub-Saharan Africa
ZAF,South Africa,2019,,,,,,,,,,,,,64638,,,,NA,51216967.00,,Sub-Saharan Africa
ZAF,South Africa,2020,,,,,,,,,,,,,61028,,,,NA,51216967.00,,Sub-Saharan Africa
ARG,Argentina,2010,,,,,,,,,,,,,,,,,66.6,40788453.00,,Latin America and the Caribbean
ARG,Argentina,2015,,,,,,,,,,,,,,,,,68.4,40788453.00,,Latin America and the Caribbean
ARG,Argentina,2019,,,,,,,,,,,,,,,,,NA,40788453.00,,Latin America and the Caribbean
ARG,Argentina,2020,,,,,,,,,,,,,,,,,NA,40788453.00,,Latin America and the Caribbean
PER,Peru,2010,,,,,,,,,,,,,,,,,65.9,29027680.00,,Latin America and the Caribbean
PER,Peru,2015,,,,,,,,,,,,,62954,,,,69.6,29027680.00,,Latin America and the Caribbean
PER,Peru,2019,,,,,,,,,,,,,,,,,NA,29027680.00,,Latin America and the Caribbean
PER,Peru,2020,,,,,,,,,,,,,,,,,NA,29027680.00,,Latin America and the Caribbean
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.013509916,
