id,Country,Area,rank_2010,rank_2015,rank_2020,rank_2021,score_2010,score_2015,score_2020,score_2021,Year,HAQ Index (IHME (2017)),Code,Life expectancy
40,Australia,Asia-Pacific,10,14,16,16,79.1711465691,78.8959516825,79.0964162914,78.7608529482,2010,88.2,AUS,81.944
41,Australia,Asia-Pacific,10,14,16,16,79.1711465691,78.8959516825,79.0964162914,78.7608529482,2015,89.8,AUS,82.794
42,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,1990,74.4,AUT,75.596
43,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,1995,78.2,AUT,76.823
44,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,2000,81.6,AUT,78.239
45,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,2005,84.2,AUT,79.567
46,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,2010,86.1,AUT,80.622
47,Austria,Western Europe,12,12,11,11,78.7461799219,79.3608168159,80.3878986205,79.7415185439,2015,88.2,AUT,81.182
48,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,1990,52.9,AZE,64.827
49,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,1995,51.8,AZE,65.256
50,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,2000,53.6,AZE,66.763
51,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,2005,55.4,AZE,68.747
52,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,2010,59.9,AZE,70.938
53,Azerbaijan,Eastern Europe,98,100,80,86,51.9790282416,53.266150786,57.3600261685,56.5951699424,2015,64.5,AZE,72.266
54,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,1990,59.7,BHR,72.39
55,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,1995,63.2,BHR,73.413
56,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,2000,67.3,BHR,74.44
57,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,2005,71.3,BHR,75.326
58,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,2010,77.2,BHR,76.057
59,Bahrain,Middle East and North Africa,50,56,58,56,62.0172566792,60.3135792149,61.2598202118,61.3096420602,2015,79.0,BHR,76.762
60,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,1990,32.6,BGD,58.21
61,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,1995,35.8,BGD,62.002
62,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,2000,39.6,BGD,65.447
63,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,2005,44.3,BGD,67.773
64,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,2010,48.7,BGD,69.881
65,Bangladesh,Asia-Pacific,132,132,126,126,43.8593026933,44.8691152971,47.0498082544,47.316550614,2015,51.7,BGD,71.514
66,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,1990,63.9,BLR,70.648
67,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,1995,63.2,BLR,68.274
68,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,2000,65.6,BLR,67.364
69,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,2005,68.0,BLR,68.327
70,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,2010,71.7,BLR,70.806
71,Belarus,Eastern Europe,73,72,65,66,55.7611154862,57.2868327045,60.2871879064,60.1050547842,2015,74.4,BLR,73.652
72,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,1990,75.4,BEL,75.862
73,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,1995,78.8,BEL,76.907
74,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,2000,81.6,BEL,77.867
75,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,2005,84.6,BEL,78.975
76,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,2010,86.3,BEL,80.072
77,Belgium,Western Europe,19,19,23,23,76.1412155579,76.9470956534,76.5702526695,76.331249351,2015,87.9,BEL,80.969
78,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,1990,49.7,BLZ,71.242
79,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,1995,50.5,BLZ,69.439
80,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,2000,50.6,BLZ,68.847
81,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,2005,53.7,BLZ,69.998
82,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,2010,56.3,BLZ,72.057
83,Belize,Latin America and the Caribbean,85,88,95,95,54.1471560087,55.2057514192,55.4586587076,55.0661029835,2015,58.3,BLZ,74.034
84,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,1990,36.9,BEN,53.812
85,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,1995,37.0,BEN,55.203
86,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,2000,37.3,BEN,55.391
87,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,2005,40.4,BEN,57.355
88,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,2010,41.5,BEN,59.318
89,Benin,Sub-Saharan Africa,128,127,123,119,45.0439746838,45.8023718782,47.8153464455,48.5781594342,2015,43.0,BEN,60.608
90,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,1990,40.5,BOL,56.099
91,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,1995,43.8,BOL,59.276
92,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,2000,48.5,BOL,62.452
93,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,2005,53.3,BOL,65.312
94,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,2010,56.4,BOL,68.007
95,Bolivia,Latin America and the Caribbean,106,102,106,106,50.2408581762,52.7472720003,52.9082037775,52.2320363557,2015,59.2,BOL,70.277
96,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,1990,60.9,BIH,70.877
97,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,1995,62.1,BIH,71.645
98,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,2000,68.8,BIH,74.403
99,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,2005,72.1,BIH,75.198
100,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,2010,75.3,BIH,76.031
