,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
57,10,United Kingdom,61.73,88.63,14.66,75.61,90.25,88.41,2005,80.6,GBR,79.052
58,10,United Kingdom,61.73,88.63,14.66,75.61,90.25,88.41,2010,82.7,GBR,80.352
59,10,United Kingdom,61.73,88.63,14.66,75.61,90.25,88.41,2015,84.6,GBR,81.052
60,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,1990,79.2,NLD,76.993
61,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,1995,80.8,NLD,77.528
62,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,2000,82.1,NLD,78.187
63,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,2005,85.1,NLD,79.401
64,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,2010,88.2,NLD,80.797
65,11,Netherlands,60.16,79.09,13.56,69.93,67.29,85.03,2015,89.5,NLD,81.715
66,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,1990,75.4,FIN,75.254
67,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,1995,78.8,FIN,76.472
68,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,2000,82.0,FIN,77.779
69,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,2005,84.5,FIN,78.977
70,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,2010,87.2,FIN,80.137
71,12,Finland,59.6,77.76,13.41,68.97,59.65,84.59,2015,89.6,FIN,81.196
72,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,1990,52.4,THA,70.248
73,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,1995,55.9,THA,70.191
74,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,2000,59.3,THA,70.623
75,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,2005,64.8,THA,72.099
76,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,2010,68.4,THA,74.184
77,13,Thailand,59.52,98.7,29.05,94.99,98.74,96.1,2015,70.8,THA,76.091
78,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,1990,77.5,NOR,76.729
79,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,1995,81.0,NOR,77.783
80,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,2000,82.8,NOR,78.793
81,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,2005,85.9,NOR,79.972
82,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,2010,88.0,NOR,81.156
83,15,Norway,56.71,79.73,21.24,68.59,75.73,92.6,2015,90.5,NOR,81.912
84,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,1990,74.2,NZL,75.36
85,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,1995,77.6,NZL,76.989
86,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,2000,80.0,NZL,78.324
87,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,2005,82.5,NZL,79.734
88,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,2010,84.2,NZL,80.86
89,16,New Zealand,54.86,86.58,16.55,71.23,73.86,89.51,2015,86.2,NZL,81.713
90,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,1990,73.1,DEU,75.488
91,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,1995,77.1,DEU,76.623
92,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,2000,80.6,DEU,77.982
93,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,2005,83.2,DEU,79.222
94,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,2010,84.9,DEU,80.124
95,17,Germany,52.3,78.93,13.6,66.04,60.94,85.68,2015,86.4,DEU,80.77
96,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,1990,81.4,CHE,77.568
97,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,1995,83.4,CHE,78.537
98,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,2000,85.4,CHE,79.858
99,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,2005,88.2,CHE,81.163
100,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,2010,90.1,CHE,82.269
101,18,Switzerland,52.25,77.77,16.4,65.42,69.68,89.49,2015,91.8,CHE,83.142
102,19,India,52.1,74.2,17.84,63.51,97.84,89.98,1990,30.7,IND,57.865
103,19,India,52.1,74.2,17.84,63.51,97.84,89.98,1995,33.1,IND,60.32
104,19,India,52.1,74.2,17.84,63.51,97.84,89.98,2000,35.3,IND,62.505
105,19,India,52.1,74.2,17.84,63.51,97.84,89.98,2005,38.2,IND,64.5
