Country Code,Country Name,Year,GDP (US$),Population (number),HDI
BIH,Bosnia And Herzegovina,2019,2.0201323283E10,3300998.0,0.783
BIH,Bosnia And Herzegovina,2020,1.9955120005E10,3280815.0,0.781
BLR,Belarus,2010,5.7222490769E10,9483836.0,0.79
BLR,Belarus,2015,5.6454734397E10,9461076.0,0.812
BLR,Belarus,2019,6.4409647194E10,9419758.0,0.817
BLR,Belarus,2020,6.1489588895E10,9379952.0,0.807
BLZ,Belize,2010,1.387925188E9,322465.0,0.707
BLZ,Belize,2015,1.734320479E9,360926.0,0.708
BLZ,Belize,2019,1.945250236E9,390351.0,0.705
BLZ,Belize,2020,1.58563167E9,397621.0,0.69
BMU,Bermuda,2010,6.634526E9,65124.0,
BMU,Bermuda,2015,6.654541E9,65237.0,
BMU,Bermuda,2019,7.423465E9,63911.0,
BMU,Bermuda,2020,6.881662E9,63893.0,
BOL,Bolivia,2010,1.9649631308E10,1.0048597E7,
BOL,Bolivia,2015,3.3000198249E10,1.0869732E7,
BOL,Bolivia,2019,4.0895322851E10,1.1513102E7,
BOL,Bolivia,2020,3.6629843806E10,1.1673029E7,
BRA,Brazil,2010,2.20883810857709E12,1.95713637E8,0.723
BRA,Brazil,2015,1.80221199953868E12,2.04471759E8,0.753
BRA,Brazil,2019,1.87328815897723E12,2.11049519E8,0.766
BRA,Brazil,2020,1.44856593673956E12,2.12559409E8,0.758
BRB,Barbados,2010,4.529928302E9,282131.0,0.788
BRB,Barbados,2015,4.724691213E9,285327.0,0.791
BRB,Barbados,2019,5.304164323E9,287021.0,0.799
BRB,Barbados,2020,4.689534962E9,287371.0,0.788
BRN,Brunei Darussalam,2010,1.3707370737E10,388634.0,0.828
BRN,Brunei Darussalam,2015,1.2930394938E10,414914.0,0.836
BRN,Brunei Darussalam,2019,1.3469422959E10,433296.0,0.83
BRN,Brunei Darussalam,2020,1.200582577E10,437483.0,0.83
BTN,Bhutan,2010,1.547991318E9,685502.0,0.581
BTN,Bhutan,2015,2.003598213E9,727885.0,0.627
BTN,Bhutan,2019,2.535657069E9,763094.0,0.671
BTN,Bhutan,2020,2.315436303E9,771612.0,0.668
BWA,Botswana,2010,1.2786654498E10,1987106.0,0.66
BWA,Botswana,2015,1.3578754072E10,2120716.0,0.702
BWA,Botswana,2019,1.6695925027E10,2303703.0,0.717
BWA,Botswana,2020,1.4930072799E10,2351625.0,0.713
CAF,Central African Republic,2010,2.142591376E9,4386765.0,0.372
CAF,Central African Republic,2015,1.695825708E9,4493171.0,0.384
CAF,Central African Republic,2019,2.221301401E9,4745179.0,0.411
CAF,Central African Republic,2020,2.326720921E9,4829764.0,0.407
CAN,Canada,2010,1.61734336748626E12,3.4004889E7,0.911
CAN,Canada,2015,1.55650881621714E12,3.5702908E7,0.926
CAN,Canada,2019,1.74201504548231E12,3.760123E7,0.937
CAN,Canada,2020,1.64542340756836E12,3.8037204E7,0.931
CEB,Central Europe And The Baltics,2010,1.31817044187833E12,1.04421447E8,
CEB,Central Europe And The Baltics,2015,1.2930635078441E12,1.03257886E8,
CEB,Central Europe And The Baltics,2019,1.67386331097542E12,1.02398494E8,
CEB,Central Europe And The Baltics,2020,1.65491615437308E12,1.02172351E8,
